ID,alpha,beta,n_simulation,initial_value,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,mean,median,mode,Q1,Q3
103.0,1.0,0.85,100.0,200,0.0,20.0,12.0,40.0,14.0,7.0,3.0,4.0,0.0,4.01,4.0,4.0,3.0,5.0
103.0,1.0,0.85,100.0,300,0.0,35.0,10.0,27.0,15.0,6.0,3.0,4.0,0.0,3.72,4.0,2.0,2.0,5.0
103.0,1.0,0.85,100.0,400,0.0,22.0,13.0,30.0,18.0,10.0,2.0,5.0,0.0,4.07,4.0,4.0,3.0,5.0
103.0,1.0,0.85,100.0,500,0.0,30.0,13.0,31.0,14.0,8.0,2.0,2.0,0.0,3.71,4.0,4.0,2.0,5.0
103.0,1.0,0.85,100.0,600,0.0,29.0,15.0,27.0,15.0,8.0,1.0,5.0,0.0,3.81,4.0,2.0,2.0,5.0
103.0,1.0,0.85,100.0,700,0.0,19.0,42.0,19.0,13.0,3.0,1.0,3.0,0.0,3.54,3.0,3.0,3.0,4.0
104.0,1.0,0.9,100.0,200,0.0,27.0,21.0,19.0,22.0,5.0,3.0,3.0,0.0,3.78,4.0,2.0,2.0,5.0
104.0,1.0,0.9,100.0,300,0.0,25.0,35.0,28.0,7.0,3.0,2.0,0.0,0.0,3.34,3.0,3.0,2.75,4.0
104.0,1.0,0.9,100.0,400,0.0,33.0,37.0,11.0,8.0,7.0,2.0,2.0,0.0,3.33,3.0,3.0,2.0,4.0
104.0,1.0,0.9,100.0,500,0.0,21.0,48.0,18.0,7.0,3.0,2.0,1.0,0.0,3.33,3.0,3.0,3.0,4.0
104.0,1.0,0.9,100.0,600,0.0,21.0,38.0,16.0,8.0,6.0,4.0,7.0,0.0,3.8,3.0,3.0,3.0,4.25
104.0,1.0,0.9,100.0,700,0.0,22.0,23.0,25.0,14.0,8.0,4.0,4.0,0.0,3.91,4.0,4.0,3.0,5.0
105.0,1.0,0.95,100.0,200,0.0,18.0,44.0,14.0,15.0,2.0,2.0,5.0,0.0,3.65,3.0,3.0,3.0,4.0
105.0,1.0,0.95,100.0,300,0.0,20.0,41.0,21.0,7.0,6.0,4.0,1.0,0.0,3.54,3.0,3.0,3.0,4.0
105.0,1.0,0.95,100.0,400,0.0,23.0,39.0,16.0,13.0,5.0,4.0,0.0,0.0,3.5,3.0,3.0,3.0,4.0
105.0,1.0,0.95,100.0,500,0.0,24.0,30.0,22.0,12.0,6.0,2.0,4.0,0.0,3.68,3.0,3.0,3.0,4.0
105.0,1.0,0.95,100.0,600,0.0,26.0,32.0,21.0,9.0,5.0,4.0,3.0,0.0,3.59,3.0,3.0,2.0,4.0
105.0,1.0,0.95,100.0,700,0.0,21.0,38.0,20.0,8.0,6.0,3.0,4.0,0.0,3.65,3.0,3.0,3.0,4.0
106.0,1.0,1.05,100.0,200,0.0,41.0,29.0,12.0,9.0,4.0,2.0,3.0,0.0,3.24,3.0,2.0,2.0,4.0
106.0,1.0,1.05,100.0,300,0.0,48.0,22.0,15.0,9.0,4.0,1.0,1.0,0.0,3.06,3.0,2.0,2.0,4.0
