ID,alpha,beta,n_simulation,initial_value,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,mean,median,mode,Q1,Q3
103,0.45,0.6,100,700,0,24,35,22,7,8,3,1,0,3.53,3,3,3,4
104,0.5,0.4,100,500,0,0,16,32,23,11,7,11,0,4.94,5,4,4,6
105,0.5,0.4,100,600,0,0,21,39,23,12,4,1,0,4.42,4,4,4,5
106,0.5,0.4,100,700,0,0,28,34,19,10,3,6,0,4.44,4,4,3,5
107,0.5,0.45,100,200,0,0,21,44,18,10,4,3,0,4.41,4,4,4,5
108,0.5,0.45,100,300,0,0,27,31,25,7,7,3,0,4.45,4,4,3,5
109,0.5,0.45,100,400,0,0,29,39,17,5,2,8,0,4.36,4,4,3,5
110,0.5,0.45,100,500,0,0,25,34,23,10,1,7,0,4.49,4,4,3.75,5
111,0.5,0.45,100,600,0,0,20,38,22,9,3,8,0,4.61,4,4,4,5
112,0.5,0.45,100,700,0,0,32,33,15,8,4,8,0,4.43,4,4,3,5
113,0.5,0.55,100,200,0,27,43,16,7,3,2,2,0,3.3,3,3,2,4
114,0.5,0.55,100,300,0,25,37,24,9,4,1,0,0,3.33,3,3,2.75,4
115,0.5,0.55,100,400,0,23,33,25,5,6,3,5,0,3.67,3,3,3,4
116,0.5,0.55,100,500,0,17,39,22,9,6,2,5,0,3.74,3,3,3,4
117,0.5,0.55,100,600,0,28,40,14,13,3,2,0,0,3.29,3,3,2,4
118,0.5,0.55,100,700,0,23,48,17,5,2,1,4,0,3.34,3,3,3,4
119,0.5,0.6,100,200,0,20,39,23,9,5,2,2,0,3.54,3,3,3,4
120,0.5,0.6,100,300,0,26,36,20,8,5,1,4,0,3.49,3,3,2,4
121,0.5,0.6,100,400,0,30,39,16,7,2,3,3,0,3.33,3,3,2,4
122,0.5,0.6,100,500,0,31,32,20,8,6,0,3,0,3.38,3,3,2,4
123,0.5,0.6,100,600,0,21,35,17,17,7,1,2,0,3.65,3,3,3,5
124,0.5,0.6,100,700,0,30,29,15,15,5,4,2,0,3.56,3,2,2,5
125,0.5,0.65,100,200,0,52,24,16,5,1,2,0,0,2.85,2,2,2,3
126,0.5,0.65,100,300,0,53,21,14,8,2,0,2,0,2.93,2,2,2,4
127,0.5,0.65,100,400,0,52,28,11,4,0,2,3,0,2.9,2,2,2,3
128,0.5,0.65,100,500,0,41,25,19,6,5,2,2,0,3.23,3,2,2,4
129,0.5,0.65,100,600,0,40,26,19,8,5,1,1,0,3.19,3,2,2,4
130,0.5,0.65,100,700,0,35,34,17,8,3,2,1,0,3.2,3,2,2,4
131,0.55,0.4,100,700,0,0,23,23,22,12,4,7,0,4.692307692,4,3,3.5,5.5
132,0.55,0.45,100,300,0,0,33,36,14,11,3,3,0,4.24,4,4,3,5
133,0.55,0.45,100,400,0,0,29,32,21,14,2,2,0,4.34,4,4,3,5
134,0.55,0.45,100,500,0,0,22,24,35,8,2,9,0,4.71,5,5,4,5
135,0.55,0.45,100,600,0,0,35,31,23,10,1,0,0,4.11,4,3,3,5
136,0.55,0.45,100,700,0,0,34,35,13,6,6,6,0,4.33,4,4,3,5
137,0.55,0.5,100,200,0,0,18,42,17,12,2,9,0,4.65,4,4,4,5
138,0.55,0.5,100,300,0,0,26,34,23,12,3,2,0,4.38,4,4,3,5
139,0.55,0.5,100,400,0,0,23,36,17,9,6,9,0,4.66,4,4,4,5
140,0.55,0.5,100,500,0,0,17,54,16,7,1,5,0,4.36,4,4,4,5
141,0.55,0.5,100,600,0,0,31,26,25,5,2,11,0,4.54,4,3,3,5
142,0.55,0.5,100,700,0,0,22,30,21,9,12,6,0,4.77,4,4,4,6
143,0.55,0.6,100,200,0,26,34,21,8,6,3,2,0,3.51,3,3,2,4
144,0.55,0.6,100,300,0,27,36,17,8,5,3,4,0,3.53,3,3,2,4
145,0.55,0.6,100,400,0,18,34,28,5,9,2,4,0,3.75,3,3,3,4
146,0.55,0.6,100,500,0,22,44,22,9,1,1,1,0,3.3,3,3,3,4
147,0.55,0.6,100,600,0,27,30,21,14,4,2,2,0,3.52,3,3,2,4
148,0.55,0.6,100,700,0,27,32,19,11,7,3,1,0,3.52,3,3,2,4
149,0.55,0.65,100,200,0,35,30,21,7,3,1,3,0,3.28,3,2,2,4
150,0.55,0.65,100,300,0,22,36,22,11,4,2,3,0,3.57,3,3,3,4
151,0.55,0.65,100,400,0,34,31,15,13,3,2,2,0,3.34,3,2,2,4
152,0.55,0.65,100,500,0,20,37,21,16,6,0,0,0,3.51,3,3,3,4
153,0.55,0.65,100,600,0,23,38,18,11,6,2,2,0,3.53,3,3,3,4
154,0.55,0.65,100,700,0,16,36,31,8,5,1,3,0,3.65,3,3,3,4
155,0.55,0.7,100,200,0,51,19,14,8,4,3,1,0,3.08,2,2,2,4
156,0.55,0.7,100,300,0,51,24,9,5,6,2,3,0,3.09,2,2,2,3.25
157,0.55,0.7,100,400,0,49,21,13,6,6,2,3,0,3.17,3,2,2,4
158,0.55,0.7,100,500,0,54,20,15,6,3,0,2,0,2.92,2,2,2,4
159,0.55,0.7,100,600,0,31,39,13,6,7,2,2,0,3.33,3,3,2,4
160,0.55,0.7,100,700,0,32,35,19,5,5,2,2,0,3.3,3,3,2,4
161,0.6,0.45,100,400,0,0,27,13,21,11,5,4,0,4.580246914,5,3,3,5
162,0.6,0.45,100,500,0,0,22,30,16,8,5,8,0,4.640449438,4,4,4,5
163,0.6,0.45,100,600,0,0,25,39,20,6,8,2,0,4.39,4,4,3.75,5
164,0.6,0.45,100,700,0,0,23,34,25,8,7,3,0,4.51,4,4,4,5
165,0.6,0.5,100,200,0,0,23,38,19,7,6,7,0,4.56,4,4,4,5
166,0.6,0.5,100,300,0,0,30,30,15,15,5,5,0,4.5,4,3,3,5.25
167,0.6,0.5,100,400,0,0,27,39,15,5,10,4,0,4.44,4,4,3,5
168,0.6,0.5,100,500,0,0,27,38,17,8,4,6,0,4.42,4,4,3,5
169,0.6,0.5,100,600,0,0,24,42,17,6,6,5,0,4.43,4,4,4,5
170,0.6,0.5,100,700,0,0,22,40,13,13,6,6,0,4.59,4,4,4,5.25
171,0.6,0.55,100,200,0,0,30,41,14,6,4,5,0,4.28,4,4,3,5
172,0.6,0.55,100,300,0,0,28,42,15,6,4,5,0,4.31,4,4,3,5
173,0.6,0.55,100,400,0,14,17,34,17,11,5,2,0,4.17,4,4,3,5
174,0.6,0.55,100,500,0,8,30,36,11,6,3,6,0,4.1,4,4,3,5
175,0.6,0.55,100,600,0,14,20,34,20,9,3,0,0,3.99,4,4,3,5
176,0.6,0.55,100,700,0,14,22,31,14,9,6,4,0,4.16,4,4,3,5
177,0.6,0.65,100,200,0,28,38,13,10,6,3,2,0,3.45,3,3,2,4
178,0.6,0.65,100,300,0,20,37,21,10,4,4,4,0,3.69,3,3,3,4
179,0.6,0.65,100,400,0,28,31,27,4,2,4,4,0,3.49,3,3,2,4
180,0.6,0.65,100,500,0,28,39,19,5,5,0,4,0,3.36,3,3,2,4
181,0.6,0.65,100,600,0,26,36,25,3,6,3,1,0,3.4,3,3,2,4
182,0.6,0.65,100,700,0,22,49,16,9,3,0,1,0,3.26,3,3,3,4
183,0.6,0.7,100,200,0,37,35,17,4,4,3,0,0,3.12,3,2,2,4
184,0.6,0.7,100,300,0,29,37,15,12,3,4,0,0,3.35,3,3,2,4
185,0.6,0.7,100,400,0,19,36,27,7,7,2,2,0,3.61,3,3,3,4
186,0.6,0.7,100,500,0,18,52,14,10,4,1,1,0,3.37,3,3,3,4
187,0.6,0.7,100,600,0,23,49,12,6,7,1,2,0,3.36,3,3,3,4
188,0.6,0.7,100,700,0,19,39,22,13,5,1,1,0,3.53,3,3,3,4
189,0.6,0.75,100,200,0,51,22,10,8,8,0,1,0,3.04,2,2,2,4
190,0.6,0.75,100,300,0,57,21,13,5,2,1,1,0,2.81,2,2,2,3
191,0.6,0.75,100,400,0,54,26,17,2,0,0,1,0,2.72,2,2,2,3
192,0.6,0.75,100,500,0,50,26,9,9,3,2,1,0,2.99,2.5,2,2,3
193,0.6,0.75,100,600,0,45,24,17,6,4,1,3,0,3.15,3,2,2,4
194,0.6,0.75,100,700,0,38,34,15,8,2,1,2,0,3.13,3,2,2,4
195,0.65,0.5,100,300,0,0,22,19,22,9,9,4,0,4.717647059,5,3,3,6
196,0.65,0.5,100,400,0,0,22,37,13,9,5,8,0,4.595744681,4,4,4,5
197,0.65,0.5,100,500,0,0,29,37,13,12,4,5,0,4.4,4,4,3,5
198,0.65,0.5,100,600,0,0,31,37,15,9,5,3,0,4.29,4,4,3,5
199,0.65,0.5,100,700,0,0,20,40,16,9,6,9,0,4.68,4,4,4,5
200,0.65,0.55,100,200,0,0,12,50,20,10,1,7,0,4.59,4,4,4,5
201,0.65,0.55,100,300,0,0,29,40,20,7,2,2,0,4.19,4,4,3,5
202,0.65,0.55,100,400,0,0,23,37,22,9,2,7,0,4.51,4,4,4,5
203,0.65,0.55,100,500,0,0,28,32,15,15,7,3,0,4.5,4,4,3,5.25
204,0.65,0.55,100,600,0,0,27,40,19,10,2,2,0,4.26,4,4,3,5
205,0.65,0.55,100,700,0,0,26,34,21,8,8,3,0,4.47,4,4,3,5
206,0.65,0.6,100,200,0,5,19,47,16,5,5,3,0,4.24,4,4,4,5
207,0.65,0.6,100,300,0,11,21,38,14,8,6,2,0,4.13,4,4,3,5
208,0.65,0.6,100,400,0,29,14,31,14,3,3,6,0,3.81,4,4,2,5
209,0.65,0.6,100,500,0,22,19,39,13,1,5,1,0,3.71,4,4,3,4
210,0.65,0.6,100,600,0,32,30,17,11,6,2,2,0,3.43,3,2,2,4
211,0.65,0.6,100,700,0,22,25,20,16,8,5,4,0,3.94,4,3,3,5
212,0.65,0.7,100,200,0,16,46,21,8,4,2,3,0,3.56,3,3,3,4
